810610,8106,TANIWEL TIMUR,-2.9488237642590622,128.69834332520352
810611,8106,ELPAPUTIH,-3.1812429336075665,128.6973348043995
810701,8107,PULAU-PULAU ARU,-5.79978965114901,134.3692902425209
810702,8107,ARU SELATAN,-6.616489754450645,134.21411864250132
810703,8107,ARU TENGAH,-6.206630787127699,134.4632577924289
810704,8107,ARU UTARA,-5.4459482917423685,134.58305124162808
810705,8107,ARU UTARA TIMUR BATULEY,-5.768072946311403,134.64640906992759
810706,8107,SIR-SIR,-5.622654826393246,134.54505521352837
810707,8107,ARU TENGAH TIMUR,-6.103876975001222,134.64709400643477
810708,8107,ARU TENGAH SELATAN,-6.569138457982559,134.74950930228732
810709,8107,ARU SELATAN TIMUR,-6.719311593514529,134.34305777496277
810710,8107,ARU SELATAN UTARA,-6.325552524972291,134.24182381526708
810801,8108,MOA,-8.17686655077278,127.9424293009084
810802,8108,DAMER,-7.145368111198905,128.6118424605526
810803,8108,KEPULAUAN LUANG SERMATA,-8.212971153878822,128.9054684166176
810804,8108,BABAR BARAT,-7.864089539379132,129.66724909832806
810805,8108,PULAU-PULAU BABAR TIMUR,-7.930519301655169,129.77473981527436
810806,8108,WETAR SELATAN,-7.826746108629868,126.30864464613475
810807,8108,KISAR SELATAN,-8.072452869627678,127.1819947324516
810808,8108,PULAU LETI,-8.19754437586599,127.68200913114173
810809,8108,PULAU MASELA,-8.152619292066385,129.8674952738594
810810,8108,DAWELOR DAWERA,-7.746273181870113,130.0385921870046
810811,8108,PULAU WETANG,-7.903064281539968,129.53797580055124
810812,8108,PULAU LAKOR,-8.242825394430426,128.16060082091104
810813,8108,WETAR UTARA,-7.6973554017159636,126.27233271702768
810814,8108,WETAR BARAT,-7.888625963549113,125.88367081102137
810815,8108,WETAR TIMUR,-7.690969465913622,126.64637138985411
810816,8108,KEPULAUAN ROMA,-7.571318337882683,127.4128290883188
810817,8108,KISAR UTARA,-8.027780438807877,127.17851517935755
810901,8109,NAMROLE,-3.71304952271127,126.71334297923437
810902,8109,WAESAMA,-3.6473352739665703,127.03222989251377
810903,8109,AMBALAU,-3.857825836852399,127.19413538781642
810904,8109,KEPALA MADAN,-3.365599341127913,126.13929925493241
810905,8109,LEKSULA,-3.582838605750368,126.39248663616881
810906,8109,FENA FAFAN,-3.5664980140307314,126.49260259293406
817101,8171,NUSANIWE,-3.7415518864262305,128.15746092115515
817102,8171,SIRIMAU,-3.6945796469156003,128.21532178224936
817103,8171,BAGUALA,-3.629200186247091,128.2413119314402
817104,8171,TELUK AMBON,-3.668439007562819,128.1259072955113
817105,8171,LEITIMUR SELATAN,-3.6986116629523,128.25795914247894
817201,8172,PULAU DULLAH UTARA,-5.578499983483561,132.77134189792974
817202,8172,PULAU DULLAH SELATAN,-5.642678787411163,132.76157705400541
817203,8172,TAYANDO TAM,-5.61818296141566,132.2891456067507
817204,8172,PULAU-PULAU KUR,-5.274431739687996,132.01131535014952
817205,8172,KUR SELATAN,-5.385474427615246,131.98649779323654
